analysis_set	metric	n_AC	n_TOL	mean_AC	mean_TOL	delta_AC_minus_TOL	sd_AC	sd_TOL	pooled_sd	cohen_d_AC_minus_TOL	hedges_g_AC_minus_TOL	abs_hedges_g	cliffs_delta_AC_vs_TOL	welch_p	mw_p	n_per_group_80_power	n_per_group_90_power
all_BC_samples	strict_amyloid_TPM_fraction	6	5	0.07863657797376312	0.14667832106351847	-0.06804174308975534	0.06704504815667615	0.048870319858283204	0.05965495701100041	-1.1405882511525136	-1.0428235439108695	1.0428235439108695	-0.6	0.0843556315545517	0.11984615709682368	16.0	21.0
all_BC_samples	strict_amyloid_TPM	6	5	74691.09114583333	95300.96171875	-20609.87057291667	63354.88051577118	50522.41912889268	58003.12612684502	-0.3553234445992732	-0.3248671493479069	0.3248671493479069	-0.2	0.5632440371242327	0.647328684583698	150.0	201.0
all_BC_samples	n_strict_amyloid_expressed_TPM_ge_1	6	5	1214.8333333333333	1663.2	-448.3666666666668	976.6070687163117	836.0931168237184	916.8189954240535	-0.4890460046143406	-0.44712777564739714	0.44712777564739714	-0.4	0.43328753512061247	0.3142001092738079	80.0	107.0
all_BC_samples	strict_weighted_index_sum	6	5	-12897.512471618675	-18912.593731557296	6015.081259938621	12275.90661396912	17251.773369447936	14696.878555732794	0.40927610833337974	0.37419529904766147	0.37419529904766147	0.2	0.5338883640926905	0.647328684583698	114.0	152.0
all_BC_samples	strict_expression_weighted_amyloid_index	4	5	-0.17944099406810934	-0.14445549164333862	-0.03498550242477072	0.07372182188897011	0.20576218872344554	0.16285709524476552	-0.21482332330801662	-0.19095406516268143	0.19095406516268143	0.0	0.7379766369818316	1.0	432.0	578.0
all_BC_samples	continuous_expression_weighted_amyloid_index	6	5	-0.13202813292528545	-0.10744638196286245	-0.024581750962423002	0.16203355987022003	0.12044673028545373	0.14503027728600834	-0.1694939251474113	-0.1549658744204903	0.1549658744204903	-0.26666666666666666	0.7798074493132543	0.5367965367965368	655.0	877.0
all_BC_samples	protein_coding_annotation_fraction	6	5	0.9243853489557902	0.7221826791763306	0.20220266977945955	0.07934311839475593	0.36282945626059787	0.24901082294739849	0.8120236196407142	0.7424215951000815	0.7424215951000815	0.6666666666666666	0.28415670057111764	0.08225108225108226	30.0	40.0
coverage_qc	strict_amyloid_TPM_fraction	6	4	0.07863657797376312	0.13245377130806443	-0.05381719333430131	0.06704504815667615	0.04284264362095271	0.0591414287417786	-0.9099745217396794	-0.8219124712487427	0.8219124712487427	-0.5	0.16012405369208063	0.23952554419355576	25.0	33.0
coverage_qc	strict_amyloid_TPM	6	4	74691.09114583333	114685.453125	-39994.36197916667	63354.88051577118	29971.593200687003	53343.33794252172	-0.7497536435057968	-0.6771968392955583	0.6771968392955583	-0.3333333333333333	0.22000694392062428	0.4541742673554505	36.0	47.0
coverage_qc	n_strict_amyloid_expressed_TPM_ge_1	6	4	1214.8333333333333	2027.75	-812.9166666666667	976.6070687163117	214.68795184328968	783.1889605431545	-1.0379572588751704	-0.9375097822098313	0.9375097822098313	-0.5833333333333334	0.09902164392999271	0.16452181748948458	19.0	25.0
coverage_qc	strict_weighted_index_sum	6	4	-12897.512471618675	-24281.775511105177	11384.263039486503	12275.90661396912	14305.389170129709	13073.933483754263	0.8707603609604292	0.7864932292545812	0.7864932292545812	0.5	0.2415435262710363	0.23952554419355576	27.0	35.0
coverage_qc	strict_expression_weighted_amyloid_index	4	4	-0.17944099406810934	-0.2166574964929123	0.037216502424802955	0.07372182188897011	0.14729757086376097	0.1164720597503833	0.3195315898470704	0.27785355638875686	0.27785355638875686	0.25	0.6726760513876312	0.6857142857142857	205.0	274.0
coverage_qc	continuous_expression_weighted_amyloid_index	6	4	-0.13202813292528545	-0.08279311990259158	-0.04923501302269387	0.16203355987022003	0.12365812109950498	0.14880707533693602	-0.3308647314733767	-0.298845563911437	0.298845563911437	-0.3333333333333333	0.6019440780667984	0.47619047619047616	177.0	237.0
coverage_qc	protein_coding_annotation_fraction	6	4	0.9243853489557902	0.8809146881103516	0.0434706608454386	0.07934311839475593	0.08691728657530645	0.08226519335346444	0.5284210620968282	0.47728353995842543	0.47728353995842543	0.5833333333333334	0.4525331578767334	0.17142857142857143	70.0	94.0
