analysis_set	metric	n_AC	n_TOL	mean_AC	mean_TOL	median_AC	median_TOL	delta_TOL_minus_AC	cliffs_delta_TOL_vs_AC	mannwhitney_two_sided_p	mannwhitney_one_sided_p_TOL_gt_AC	welch_two_sided_p
all_BC_samples	mean_Amyloid_Integrative_Index	6	5	-0.31707473696543703	-0.32630254993656377	-0.32735403270866625	-0.36482111901475855	-0.009227812971126736	-0.2	0.6623376623376623	0.7316017316017316	0.8710442084118549
all_BC_samples	mean_AmyloGram_Prob	6	5	0.6980390558787696	0.7085145094175036	0.6981384465834222	0.701622981821802	0.010475453538734025	0.3333333333333333	0.42857142857142855	0.21428571428571427	0.41290923557968595
all_BC_samples	mean_AMYPred_Prob	6	5	0.5631257741469113	0.5589861979220985	0.5650567819790173	0.5583798364994029	-0.004139576224812869	0.0	1.0	0.5346320346320346	0.8370589872561751
all_BC_samples	strict_amyloid_fraction	6	5	0.5031072538304939	0.7385760971055089	0.7152041144326583	0.7301587301587301	0.23546884327501494	0.3	0.46214003380576796	0.23107001690288398	0.20144145902013033
all_BC_samples	expression_weighted_amyloid_index_per_panel_TPM	6	5	0.4645222361422729	0.3391582003014013	0.6556703071105019	0.229575086103995	-0.12536403584087158	-0.26666666666666666	0.5367965367965368	0.7857142857142857	0.6197800275420006
all_BC_samples	expression_weighted_amyloid_index_sum	6	5	9239.085125670952	2892.1735903472186	7110.205114626383	1389.5223772673417	-6346.911535323734	-0.4666666666666667	0.24675324675324672	0.9112554112554113	0.16991451235819746
all_BC_samples	mean_beta_propensity	6	5	0.967089297563652	0.9622436257576773	0.968208854910215	0.9618216823003884	-0.004845671805974727	-0.6666666666666666	0.08225108225108226	0.974025974025974	0.10373908257685908
all_BC_samples	mean_KD_max	6	5	2.033467931508715	2.0716682006135785	2.0212829154052665	1.9929705215419498	0.038200269104863516	-0.13333333333333333	0.7922077922077921	0.6688311688311689	0.6734018852504973
all_BC_samples	mean_aromaticity	6	5	72.67277538612608	72.3120453086003	73.1495867069508	71.86331168941335	-0.3607300775257727	-0.2	0.6623376623376623	0.7316017316017316	0.6960706377499153
all_BC_samples	mean_abs_charge_density	6	5	0.04959362068128386	0.04785248207613368	0.04958328971917857	0.048819737717626537	-0.0017411386051501831	-0.26666666666666666	0.5367965367965368	0.7857142857142857	0.47447844002205714
all_BC_samples	mean_pI_distance_from_7	6	5	2.052439812646925	2.087566834087924	2.0187881311992326	2.1061556653667908	0.035127021440998885	0.13333333333333333	0.7922077922077921	0.39610389610389607	0.6230777019236369
all_BC_samples	mean_chameleon_score	6	5	0.9179958130235676	0.9163849180759011	0.917949870701668	0.9165138712786687	-0.0016108949476665302	-0.4666666666666667	0.24675324675324672	0.9112554112554113	0.16146861102201956
coverage_QC_protein_coding_annotation_fraction_ge_0_5	mean_Amyloid_Integrative_Index	6	4	-0.31707473696543703	-0.37075539716186934	-0.32735403270866625	-0.37303665113386764	-0.053680660196432306	-0.5	0.2571428571428571	0.9142857142857143	0.15304623819905439
coverage_QC_protein_coding_annotation_fraction_ge_0_5	mean_AmyloGram_Prob	6	4	0.6980390558787696	0.6996960167444127	0.6981384465834222	0.7014586034681097	0.0016569608656431534	0.16666666666666666	0.7619047619047619	0.38095238095238093	0.8534604673041292
coverage_QC_protein_coding_annotation_fraction_ge_0_5	mean_AMYPred_Prob	6	4	0.5631257741469113	0.5720043066362812	0.5650567819790173	0.5629602995324976	0.008878532489369872	0.25	0.6095238095238095	0.30476190476190473	0.6024830519077241
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_fraction	6	4	0.5031072538304939	0.7482201213818861	0.7152041144326583	0.7474323062558357	0.24511286755139217	0.4583333333333333	0.28200387092797774	0.14100193546398887	0.18628174933084538
coverage_QC_protein_coding_annotation_fraction_ge_0_5	expression_weighted_amyloid_index_per_panel_TPM	6	4	0.4645222361422729	0.2235564958716502	0.6556703071105019	0.21144722512869718	-0.2409657402706227	-0.5833333333333334	0.17142857142857143	0.9428571428571428	0.32944517418677716
coverage_QC_protein_coding_annotation_fraction_ge_0_5	expression_weighted_amyloid_index_sum	6	4	9239.085125670952	2221.7071630022783	7110.205114626383	996.3584643455711	-7017.377962668674	-0.5	0.2571428571428571	0.9142857142857143	0.1402435370755151
coverage_QC_protein_coding_annotation_fraction_ge_0_5	mean_beta_propensity	6	4	0.967089297563652	0.9609434463428893	0.968208854910215	0.9608033228260269	-0.006145851220762721	-0.75	0.06666666666666667	0.9809523809523809	0.046582445430606634
coverage_QC_protein_coding_annotation_fraction_ge_0_5	mean_KD_max	6	4	2.033467931508715	1.992442393624116	2.0212829154052665	1.9871882086167796	-0.04102553788459895	-0.4166666666666667	0.35238095238095235	0.8714285714285714	0.26142024058253316
coverage_QC_protein_coding_annotation_fraction_ge_0_5	mean_aromaticity	6	4	72.67277538612608	71.62739760028772	73.1495867069508	71.63133204628443	-1.0453777858383546	-0.5	0.2571428571428571	0.9142857142857143	0.12420429059803002
coverage_QC_protein_coding_annotation_fraction_ge_0_5	mean_abs_charge_density	6	4	0.04959362068128386	0.04930839490451213	0.04958328971917857	0.04906967294508116	-0.00028522577677173033	-0.08333333333333333	0.9142857142857143	0.6190476190476191	0.8823515837711171
coverage_QC_protein_coding_annotation_fraction_ge_0_5	mean_pI_distance_from_7	6	4	2.052439812646925	2.124129282446028	2.0187881311992326	2.1280612320694097	0.07168946979910285	0.3333333333333333	0.47619047619047616	0.23809523809523808	0.27463600785358555
coverage_QC_protein_coding_annotation_fraction_ge_0_5	mean_chameleon_score	6	4	0.9179958130235676	0.9159527265999801	0.917949870701668	0.9158960966475851	-0.0020430864235875257	-0.6666666666666666	0.11428571428571428	0.9666666666666667	0.08335559762652581
