analysis_set	metric	n_AC	n_TOL	mean_AC	mean_TOL	median_AC	median_TOL	delta_mean_TOL_minus_AC	bootstrap_delta_mean_TOL_minus_AC_median	bootstrap_delta_mean_TOL_minus_AC_ci95_low	bootstrap_delta_mean_TOL_minus_AC_ci95_high	empirical_permutation_p_one_sided_TOL_gt_AC	empirical_permutation_p_two_sided	mannwhitney_p_two_sided	welch_t_p_two_sided	cliffs_delta_TOL_vs_AC	hedges_g_TOL_minus_AC	direction_supports_hypothesis
all_BC_samples	strict_amyloid_TPM_fraction	6	5	0.07650108883778255	0.13924406468868256	0.0831429660320282	0.1499590277671814	0.06274297585090001	0.0627607773989439	0.0011137587328751836	0.12439245879650115	0.056155507559395246	0.12095032397408208	0.11984615709682368	0.10451713250458364	0.6	0.9717306117484582	True
all_BC_samples	strict_amyloid_TPM	6	5	59226.998697916664	76580.990625	65647.578125	70513.5546875	17353.99192708334	17475.625130208333	-31409.86751953125	65369.13227864581	0.2570194384449244	0.5205183585313174	0.647328684583698	0.5429974630552643	0.2	0.34193632907555555	True
all_BC_samples	n_strict_amyloid_expressed_TPM_ge_1	6	5	742.6666666666666	1015.6	966.5	1192.0	272.9333333333334	277.70000000000005	-332.10833333333335	852.5074999999994	0.17062634989200864	0.38660907127429806	0.3142001092738079	0.4322389916894331	0.4	0.44751806659404203	True
all_BC_samples	strict_weighted_index_sum	6	5	-4721.931158659925	-9777.94753606281	-3039.7181921831198	-4862.677238169399	-5056.016377402884	-4933.007611940381	-16984.00346471242	6497.396882391662	0.7667386609071274	0.44924406047516197	0.9270990616387901	0.4833164525779794	-0.06666666666666667	-0.43744459518654755	False
all_BC_samples	continuous_expression_weighted_amyloid_index	6	5	-0.21223824257040147	-0.1444150332652657	-0.22273295968998896	-0.13292643128675583	0.06782320930513577	0.06783090872414936	-0.050534110881718	0.1835159416139623	0.17926565874730022	0.34989200863930886	0.32900432900432897	0.3344158084136058	0.4	0.5400399955385072	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM_fraction	6	4	0.07650108883778255	0.12383369728922844	0.0831429660320282	0.11997321620583534	0.04733260845144589	0.04700522404164076	-0.011263636251290635	0.10654950141906738	0.10900473933649289	0.24170616113744076	0.23952554419355576	0.19684087839466233	0.5	0.7412000602031765	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM	6	4	59226.998697916664	91572.615234375	65647.578125	90427.19921875	32345.616536458336	32238.61328125	-9793.91796875	75360.68660481737	0.14691943127962084	0.2796208530805687	0.4541742673554505	0.2226197607308457	0.3333333333333333	0.6773411386027506	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	n_strict_amyloid_expressed_TPM_ge_1	6	4	742.6666666666666	1235.75	966.5	1249.5	493.08333333333337	481.0	68.33333333333326	954.3333333333333	0.07109004739336493	0.1895734597156398	0.16452181748948458	0.10083512648521264	0.5833333333333334	0.9314382730807518	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_weighted_index_sum	6	4	-4721.931158659925	-12931.617440413258	-3039.7181921831198	-13125.322388721283	-8209.686281753333	-8209.686281753333	-20750.352759098445	4325.61735091365	0.8862559241706162	0.26540284360189575	0.4541742673554505	0.3218313674701173	-0.3333333333333333	-0.7387030576185957	False
coverage_QC_protein_coding_annotation_fraction_ge_0_5	continuous_expression_weighted_amyloid_index	6	4	-0.21223824257040147	-0.12661962333332918	-0.22273295968998896	-0.13210870313857792	0.08561861923707229	0.08649934216035945	-0.03332144245869519	0.20179272317041347	0.16113744075829384	0.3127962085308057	0.2571428571428571	0.2461837932762468	0.5	0.6526267617812144	True
