analysis_set	metric	left_out_subject	left_out_sample	left_out_group	n_AC	n_TOL	mean_AC	mean_TOL	delta_mean_TOL_minus_AC	direction_chili_gt_control
all_BC_samples	strict_amyloid_TPM_fraction	N015	SRR32060215	AC	5	5	0.0771166130900383	0.13924406468868256	0.06212745159864426	True
all_BC_samples	strict_amyloid_TPM	N015	SRR32060215	AC	5	5	59829.6578125	76580.990625	16751.332812500004	True
all_BC_samples	n_strict_amyloid_expressed_TPM_ge_1	N015	SRR32060215	AC	5	5	653.6	1015.6	362.0	True
all_BC_samples	strict_weighted_index_sum	N015	SRR32060215	AC	5	5	-4251.388148848737	-9777.94753606281	-5526.559387214073	False
all_BC_samples	continuous_expression_weighted_amyloid_index	N015	SRR32060215	AC	5	5	-0.2523905872211151	-0.1444150332652657	0.10797555395584943	True
all_BC_samples	strict_amyloid_TPM_fraction	N022	SRR32060216	TOL	6	4	0.07650108883778255	0.15181737579405308	0.07531628695627053	True
all_BC_samples	strict_amyloid_TPM	N022	SRR32060216	TOL	6	4	59226.998697916664	78570.107421875	19343.108723958336	True
all_BC_samples	n_strict_amyloid_expressed_TPM_ge_1	N022	SRR32060216	TOL	6	4	742.6666666666666	942.75	200.08333333333337	True
all_BC_samples	strict_weighted_index_sum	N022	SRR32060216	TOL	6	4	-4721.931158659925	-5508.5225253644185	-786.5913667044933	False
all_BC_samples	continuous_expression_weighted_amyloid_index	N022	SRR32060216	TOL	6	4	-0.21223824257040147	-0.14769604783398213	0.06454219473641934	True
all_BC_samples	strict_amyloid_TPM_fraction	N159	SRR32060234	AC	5	5	0.07322881370782852	0.13924406468868256	0.06601525098085403	True
all_BC_samples	strict_amyloid_TPM	N159	SRR32060234	AC	5	5	56056.1078125	76580.990625	20524.882812500007	True
all_BC_samples	n_strict_amyloid_expressed_TPM_ge_1	N159	SRR32060234	AC	5	5	722.6	1015.6	293.0	True
all_BC_samples	strict_weighted_index_sum	N159	SRR32060234	AC	5	5	-4450.430113518662	-9777.94753606281	-5327.517422544147	False
all_BC_samples	continuous_expression_weighted_amyloid_index	N159	SRR32060234	AC	5	5	-0.183132867107591	-0.1444150332652657	0.0387178338423253	True
all_BC_samples	strict_amyloid_TPM_fraction	N149	SRR32060240	AC	5	5	0.09180130660533906	0.13924406468868256	0.0474427580833435	True
all_BC_samples	strict_amyloid_TPM	N149	SRR32060240	AC	5	5	71072.3984375	76580.990625	5508.592187500006	True
all_BC_samples	n_strict_amyloid_expressed_TPM_ge_1	N149	SRR32060240	AC	5	5	891.2	1015.6	124.39999999999998	True
all_BC_samples	strict_weighted_index_sum	N149	SRR32060240	AC	5	5	-5666.3173903919105	-9777.94753606281	-4111.630145670899	False
all_BC_samples	continuous_expression_weighted_amyloid_index	N149	SRR32060240	AC	5	5	-0.18970146696479712	-0.1444150332652657	0.04528643369953142	True
all_BC_samples	strict_amyloid_TPM_fraction	N132	SRR32060276	TOL	6	4	0.07650108883778255	0.12383369728922844	0.04733260845144589	True
all_BC_samples	strict_amyloid_TPM	N132	SRR32060276	TOL	6	4	59226.998697916664	91572.615234375	32345.616536458336	True
all_BC_samples	n_strict_amyloid_expressed_TPM_ge_1	N132	SRR32060276	TOL	6	4	742.6666666666666	1235.75	493.08333333333337	True
all_BC_samples	strict_weighted_index_sum	N132	SRR32060276	TOL	6	4	-4721.931158659925	-12931.617440413258	-8209.686281753333	False
all_BC_samples	continuous_expression_weighted_amyloid_index	N132	SRR32060276	TOL	6	4	-0.21223824257040147	-0.12661962333332918	0.08561861923707229	True
all_BC_samples	strict_amyloid_TPM_fraction	N101	SRR32060306	TOL	6	4	0.07650108883778255	0.15155822969973087	0.07505714086194833	True
all_BC_samples	strict_amyloid_TPM	N101	SRR32060306	TOL	6	4	59226.998697916664	78097.849609375	18870.850911458336	True
all_BC_samples	n_strict_amyloid_expressed_TPM_ge_1	N101	SRR32060306	TOL	6	4	742.6666666666666	998.75	256.08333333333337	True
all_BC_samples	strict_weighted_index_sum	N101	SRR32060306	TOL	6	4	-4721.931158659925	-12567.390068739991	-7845.458910080066	False
all_BC_samples	continuous_expression_weighted_amyloid_index	N101	SRR32060306	TOL	6	4	-0.21223824257040147	-0.17429125101280737	0.037946991557594095	True
all_BC_samples	strict_amyloid_TPM_fraction	N87	SRR32060309	AC	5	5	0.09180130660533906	0.13924406468868256	0.0474427580833435	True
all_BC_samples	strict_amyloid_TPM	N87	SRR32060309	AC	5	5	71072.3984375	76580.990625	5508.592187500006	True
all_BC_samples	n_strict_amyloid_expressed_TPM_ge_1	N87	SRR32060309	AC	5	5	891.2	1015.6	124.39999999999998	True
all_BC_samples	strict_weighted_index_sum	N87	SRR32060309	AC	5	5	-5666.3173903919105	-9777.94753606281	-4111.630145670899	False
all_BC_samples	continuous_expression_weighted_amyloid_index	N87	SRR32060309	AC	5	5	-0.19393072678414833	-0.1444150332652657	0.04951569351888263	True
all_BC_samples	strict_amyloid_TPM_fraction	N106	SRR32060312	AC	5	5	0.0620242029428482	0.13924406468868256	0.07721986174583435	True
all_BC_samples	strict_amyloid_TPM	N106	SRR32060312	AC	5	5	49855.471875	76580.990625	26725.518750000003	True
all_BC_samples	n_strict_amyloid_expressed_TPM_ge_1	N106	SRR32060312	AC	5	5	673.2	1015.6	342.4	True
all_BC_samples	strict_weighted_index_sum	N106	SRR32060312	AC	5	5	-6160.48573268299	-9777.94753606281	-3617.4618033798197	False
all_BC_samples	continuous_expression_weighted_amyloid_index	N106	SRR32060312	AC	5	5	-0.22634787150881958	-0.1444150332652657	0.08193283824355388	True
all_BC_samples	strict_amyloid_TPM_fraction	N032	SRR32060326	AC	5	5	0.06303429007530212	0.13924406468868256	0.07620977461338044	True
all_BC_samples	strict_amyloid_TPM	N032	SRR32060326	AC	5	5	47475.9578125	76580.990625	29105.03281250001	True
all_BC_samples	n_strict_amyloid_expressed_TPM_ge_1	N032	SRR32060326	AC	5	5	624.2	1015.6	391.4	True
all_BC_samples	strict_weighted_index_sum	N032	SRR32060326	AC	5	5	-2136.648176125341	-9777.94753606281	-7641.299359937469	False
all_BC_samples	continuous_expression_weighted_amyloid_index	N032	SRR32060326	AC	5	5	-0.22792593583593757	-0.1444150332652657	0.08351090257067187	True
all_BC_samples	strict_amyloid_TPM_fraction	N072	SRR32060336	TOL	6	4	0.07650108883778255	0.13656532391905785	0.0600642350812753	True
all_BC_samples	strict_amyloid_TPM	N072	SRR32060336	TOL	6	4	59226.998697916664	66523.353515625	7296.354817708336	True
all_BC_samples	n_strict_amyloid_expressed_TPM_ge_1	N072	SRR32060336	TOL	6	4	742.6666666666666	929.25	186.58333333333337	True
all_BC_samples	strict_weighted_index_sum	N072	SRR32060336	TOL	6	4	-4721.931158659925	-11006.765110536164	-6284.833951876239	False
all_BC_samples	continuous_expression_weighted_amyloid_index	N072	SRR32060336	TOL	6	4	-0.21223824257040147	-0.14728718375989316	0.0649510588105083	True
all_BC_samples	strict_amyloid_TPM_fraction	N064	SRR32060341	TOL	6	4	0.07650108883778255	0.13244569674134254	0.05594460790356	True
all_BC_samples	strict_amyloid_TPM	N064	SRR32060341	TOL	6	4	59226.998697916664	68141.02734375	8914.028645833336	True
all_BC_samples	n_strict_amyloid_expressed_TPM_ge_1	N064	SRR32060341	TOL	6	4	742.6666666666666	971.5	228.83333333333337	True
all_BC_samples	strict_weighted_index_sum	N064	SRR32060341	TOL	6	4	-4721.931158659925	-6875.442535260222	-2153.511376600297	False
all_BC_samples	continuous_expression_weighted_amyloid_index	N064	SRR32060341	TOL	6	4	-0.21223824257040147	-0.12618106038631666	0.08605718218408481	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM_fraction	N015	SRR32060215	AC	5	4	0.0771166130900383	0.12383369728922844	0.04671708419919014	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM	N015	SRR32060215	AC	5	4	59829.6578125	91572.615234375	31742.957421875	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	n_strict_amyloid_expressed_TPM_ge_1	N015	SRR32060215	AC	5	4	653.6	1235.75	582.15	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_weighted_index_sum	N015	SRR32060215	AC	5	4	-4251.388148848737	-12931.617440413258	-8680.229291564521	False
coverage_QC_protein_coding_annotation_fraction_ge_0_5	continuous_expression_weighted_amyloid_index	N015	SRR32060215	AC	5	4	-0.2523905872211151	-0.12661962333332918	0.12577096388778594	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM_fraction	N022	SRR32060216	TOL	6	3	0.07650108883778255	0.13546132296323776	0.058960234125455216	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM	N022	SRR32060216	TOL	6	3	59226.998697916664	99221.97916666667	39994.98046875001	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	n_strict_amyloid_expressed_TPM_ge_1	N022	SRR32060216	TOL	6	3	742.6666666666666	1212.0	469.33333333333337	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_weighted_index_sum	N022	SRR32060216	TOL	6	3	-4721.931158659925	-8290.274060932219	-3568.342902272294	False
coverage_QC_protein_coding_annotation_fraction_ge_0_5	continuous_expression_weighted_amyloid_index	N022	SRR32060216	TOL	6	3	-0.21223824257040147	-0.12506250611430558	0.08717573645609589	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM_fraction	N159	SRR32060234	AC	5	4	0.07322881370782852	0.12383369728922844	0.05060488358139992	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM	N159	SRR32060234	AC	5	4	56056.1078125	91572.615234375	35516.507421875	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	n_strict_amyloid_expressed_TPM_ge_1	N159	SRR32060234	AC	5	4	722.6	1235.75	513.15	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_weighted_index_sum	N159	SRR32060234	AC	5	4	-4450.430113518662	-12931.617440413258	-8481.187326894596	False
coverage_QC_protein_coding_annotation_fraction_ge_0_5	continuous_expression_weighted_amyloid_index	N159	SRR32060234	AC	5	4	-0.183132867107591	-0.12661962333332918	0.05651324377426181	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM_fraction	N149	SRR32060240	AC	5	4	0.09180130660533906	0.12383369728922844	0.032032390683889383	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM	N149	SRR32060240	AC	5	4	71072.3984375	91572.615234375	20500.216796875	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	n_strict_amyloid_expressed_TPM_ge_1	N149	SRR32060240	AC	5	4	891.2	1235.75	344.54999999999995	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_weighted_index_sum	N149	SRR32060240	AC	5	4	-5666.3173903919105	-12931.617440413258	-7265.3000500213475	False
coverage_QC_protein_coding_annotation_fraction_ge_0_5	continuous_expression_weighted_amyloid_index	N149	SRR32060240	AC	5	4	-0.18970146696479712	-0.12661962333332918	0.06308184363146793	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM_fraction	N101	SRR32060306	TOL	6	3	0.07650108883778255	0.13511579483747482	0.058614705999692276	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM	N101	SRR32060306	TOL	6	3	59226.998697916664	98592.30208333333	39365.303385416664	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	n_strict_amyloid_expressed_TPM_ge_1	N101	SRR32060306	TOL	6	3	742.6666666666666	1286.6666666666667	544.0000000000001	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_weighted_index_sum	N101	SRR32060306	TOL	6	3	-4721.931158659925	-17702.09745209965	-12980.166293439725	False
coverage_QC_protein_coding_annotation_fraction_ge_0_5	continuous_expression_weighted_amyloid_index	N101	SRR32060306	TOL	6	3	-0.21223824257040147	-0.1605227770194059	0.05171546555099557	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM_fraction	N87	SRR32060309	AC	5	4	0.09180130660533906	0.12383369728922844	0.032032390683889383	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM	N87	SRR32060309	AC	5	4	71072.3984375	91572.615234375	20500.216796875	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	n_strict_amyloid_expressed_TPM_ge_1	N87	SRR32060309	AC	5	4	891.2	1235.75	344.54999999999995	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_weighted_index_sum	N87	SRR32060309	AC	5	4	-5666.3173903919105	-12931.617440413258	-7265.3000500213475	False
coverage_QC_protein_coding_annotation_fraction_ge_0_5	continuous_expression_weighted_amyloid_index	N87	SRR32060309	AC	5	4	-0.19393072678414833	-0.12661962333332918	0.06731110345081914	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM_fraction	N106	SRR32060312	AC	5	4	0.0620242029428482	0.12383369728922844	0.06180949434638024	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM	N106	SRR32060312	AC	5	4	49855.471875	91572.615234375	41717.143359375	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	n_strict_amyloid_expressed_TPM_ge_1	N106	SRR32060312	AC	5	4	673.2	1235.75	562.55	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_weighted_index_sum	N106	SRR32060312	AC	5	4	-6160.48573268299	-12931.617440413258	-6771.131707730268	False
coverage_QC_protein_coding_annotation_fraction_ge_0_5	continuous_expression_weighted_amyloid_index	N106	SRR32060312	AC	5	4	-0.22634787150881958	-0.12661962333332918	0.09972824817549039	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM_fraction	N032	SRR32060326	AC	5	4	0.06303429007530212	0.12383369728922844	0.06079940721392632	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM	N032	SRR32060326	AC	5	4	47475.9578125	91572.615234375	44096.657421875	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	n_strict_amyloid_expressed_TPM_ge_1	N032	SRR32060326	AC	5	4	624.2	1235.75	611.55	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_weighted_index_sum	N032	SRR32060326	AC	5	4	-2136.648176125341	-12931.617440413258	-10794.969264287916	False
coverage_QC_protein_coding_annotation_fraction_ge_0_5	continuous_expression_weighted_amyloid_index	N032	SRR32060326	AC	5	4	-0.22792593583593757	-0.12661962333332918	0.10130631250260838	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM_fraction	N072	SRR32060336	TOL	6	3	0.07650108883778255	0.11512525379657745	0.03862416495879491	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM	N072	SRR32060336	TOL	6	3	59226.998697916664	83159.640625	23932.641927083336	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	n_strict_amyloid_expressed_TPM_ge_1	N072	SRR32060336	TOL	6	3	742.6666666666666	1194.0	451.33333333333337	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_weighted_index_sum	N072	SRR32060336	TOL	6	3	-4721.931158659925	-15621.264174494545	-10899.33301583462	False
coverage_QC_protein_coding_annotation_fraction_ge_0_5	continuous_expression_weighted_amyloid_index	N072	SRR32060336	TOL	6	3	-0.21223824257040147	-0.12451735401552029	0.08772088855488118	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM_fraction	N064	SRR32060341	TOL	6	3	0.07650108883778255	0.10963241755962372	0.03313132872184117	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM	N064	SRR32060341	TOL	6	3	59226.998697916664	85316.5390625	26089.540364583336	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	n_strict_amyloid_expressed_TPM_ge_1	N064	SRR32060341	TOL	6	3	742.6666666666666	1250.3333333333333	507.66666666666663	True
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_weighted_index_sum	N064	SRR32060341	TOL	6	3	-4721.931158659925	-10112.834074126624	-5390.902915466699	False
coverage_QC_protein_coding_annotation_fraction_ge_0_5	continuous_expression_weighted_amyloid_index	N064	SRR32060341	TOL	6	3	-0.21223824257040147	-0.09637585618408495	0.11586238638631652	True
