analysis_set	Group	vote_feature	n_samples_with_vote
all_BC_samples	AC	vote_strict_amyloid_TPM_fraction_high	0
all_BC_samples	TOL	vote_strict_amyloid_TPM_fraction_high	2
coverage_QC_protein_coding_annotation_fraction_ge_0_5	AC	vote_strict_amyloid_TPM_fraction_high	0
coverage_QC_protein_coding_annotation_fraction_ge_0_5	TOL	vote_strict_amyloid_TPM_fraction_high	1
all_BC_samples	AC	vote_n_strict_amyloid_transcripts_high	0
all_BC_samples	TOL	vote_n_strict_amyloid_transcripts_high	1
coverage_QC_protein_coding_annotation_fraction_ge_0_5	AC	vote_n_strict_amyloid_transcripts_high	0
coverage_QC_protein_coding_annotation_fraction_ge_0_5	TOL	vote_n_strict_amyloid_transcripts_high	1
all_BC_samples	AC	vote_nonsense_burden_high	0
all_BC_samples	TOL	vote_nonsense_burden_high	0
coverage_QC_protein_coding_annotation_fraction_ge_0_5	AC	vote_nonsense_burden_high	0
coverage_QC_protein_coding_annotation_fraction_ge_0_5	TOL	vote_nonsense_burden_high	0
all_BC_samples	AC	vote_S100A9_B2M_LYZ_CLU_contributor_high	0
all_BC_samples	TOL	vote_S100A9_B2M_LYZ_CLU_contributor_high	0
coverage_QC_protein_coding_annotation_fraction_ge_0_5	AC	vote_S100A9_B2M_LYZ_CLU_contributor_high	0
coverage_QC_protein_coding_annotation_fraction_ge_0_5	TOL	vote_S100A9_B2M_LYZ_CLU_contributor_high	0
all_BC_samples	AC	vote_continuous_amyloid_index_high	0
all_BC_samples	TOL	vote_continuous_amyloid_index_high	0
coverage_QC_protein_coding_annotation_fraction_ge_0_5	AC	vote_continuous_amyloid_index_high	0
coverage_QC_protein_coding_annotation_fraction_ge_0_5	TOL	vote_continuous_amyloid_index_high	0
