Group	metric	score	n_samples	spearman_rho	spearman_p_value	significant_p_lt_0_05
AC	Amyloidogenic_Burden	UPR_score	6	0.6571428571428573	0.1561749271137024	False
AC	Amyloidogenic_Burden	Inflammatory_score	6	0.6	0.208	False
AC	Amyloidogenic_Burden	IFNG_score	6	-0.3142857142857143	0.5440932944606415	False
AC	Amyloidogenic_Burden	IFNA_score	6	-0.2571428571428572	0.6227871720116619	False
AC	Amyloidogenic_Burden	Myeloid_score	6	0.08571428571428573	0.8717434402332361	False
AC	Amyloidogenic_Fraction	UPR_score	6	0.8285714285714287	0.04156268221574335	True
AC	Amyloidogenic_Fraction	Inflammatory_score	6	0.6	0.208	False
AC	Amyloidogenic_Fraction	IFNG_score	6	-0.14285714285714288	0.7871720116618076	False
AC	Amyloidogenic_Fraction	IFNA_score	6	0.14285714285714288	0.7871720116618076	False
AC	Amyloidogenic_Fraction	Myeloid_score	6	0.48571428571428577	0.3287230320699708	False
AC	KDmax_weighted_Amyloidogenic_Fraction	UPR_score	6	0.7714285714285715	0.07239650145772594	False
AC	KDmax_weighted_Amyloidogenic_Fraction	Inflammatory_score	6	0.4285714285714286	0.3965014577259473	False
AC	KDmax_weighted_Amyloidogenic_Fraction	IFNG_score	6	-0.08571428571428573	0.8717434402332361	False
AC	KDmax_weighted_Amyloidogenic_Fraction	IFNA_score	6	0.3142857142857143	0.5440932944606415	False
AC	KDmax_weighted_Amyloidogenic_Fraction	Myeloid_score	6	0.6	0.208	False
TOL	Amyloidogenic_Burden	UPR_score	4	0.7999999999999999	0.2000000000000001	False
TOL	Amyloidogenic_Burden	Inflammatory_score	4	1.0	0.0	True
TOL	Amyloidogenic_Burden	IFNG_score	4	0.7999999999999999	0.2000000000000001	False
TOL	Amyloidogenic_Burden	IFNA_score	4	1.0	0.0	True
TOL	Amyloidogenic_Burden	Myeloid_score	4	0.7999999999999999	0.2000000000000001	False
TOL	Amyloidogenic_Fraction	UPR_score	4	0.39999999999999997	0.6	False
TOL	Amyloidogenic_Fraction	Inflammatory_score	4	0.7999999999999999	0.2000000000000001	False
TOL	Amyloidogenic_Fraction	IFNG_score	4	0.39999999999999997	0.6	False
TOL	Amyloidogenic_Fraction	IFNA_score	4	0.7999999999999999	0.2000000000000001	False
TOL	Amyloidogenic_Fraction	Myeloid_score	4	1.0	0.0	True
TOL	KDmax_weighted_Amyloidogenic_Fraction	UPR_score	4	0.7999999999999999	0.2000000000000001	False
TOL	KDmax_weighted_Amyloidogenic_Fraction	Inflammatory_score	4	1.0	0.0	True
TOL	KDmax_weighted_Amyloidogenic_Fraction	IFNG_score	4	0.7999999999999999	0.2000000000000001	False
TOL	KDmax_weighted_Amyloidogenic_Fraction	IFNA_score	4	1.0	0.0	True
TOL	KDmax_weighted_Amyloidogenic_Fraction	Myeloid_score	4	0.7999999999999999	0.2000000000000001	False
